GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0009948	anterior/posterior axis specification	BP	e	0.018233234537719654	1.0	3	229	38	15541	CDX4,GPC3,RIPPLY1	4
GO:0098696	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	BP	e	0.020006566562150677	1.0	2	229	15	15541	GPC4,IQSEC2	6
GO:0042407	cristae formation	BP	e	0.020006566562150677	1.0	2	229	15	15541	APOO,TAFAZZIN	8
GO:1903727	positive regulation of phospholipid metabolic process	BP	e	0.022645435609594457	1.0	2	229	16	15541	HTR2C,TAFAZZIN	8
GO:0030308	negative regulation of cell growth	BP	e	0.023098074946398872	1.0	6	229	149	15541	AGTR2,DDX3X,FHL1,G6PD,PLXNA3,RBBP7	6
GO:0150151	regulation of interleukin-17A production	BP	e	0.014735216524033201	1.0	1	229	1	15541	BTK	10
GO:1903331	positive regulation of iron-sulfur cluster assembly	BP	e	0.014735216524033201	1.0	1	229	1	15541	ABCB7	6
GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	BP	e	0.014735216524033201	1.0	1	229	1	15541	AGTR2	8
GO:1904040	positive regulation of iron export across plasma membrane	BP	e	0.014735216524033201	1.0	1	229	1	15541	HEPH	10
GO:0070781	response to biotin	BP	e	0.014735216524033201	1.0	1	229	1	15541	OTC	5
GO:0009447	putrescine catabolic process	BP	e	0.014735216524033201	1.0	1	229	1	15541	SAT1	7
GO:0007007	inner mitochondrial membrane organization	BP	e	0.015766046861585357	1.0	3	229	36	15541	APOO,TAFAZZIN,TIMM8A	7
GO:0032481	positive regulation of type I interferon production	BP	e	0.016240785125875293	1.0	4	229	66	15541	BTK,DDX3X,IRAK1,PQBP1	10
GO:0062173	brexanolone metabolic process	BP	e	0.029254240682076726	1.0	1	229	2	15541	HSD17B10	6
GO:1905937	negative regulation of germ cell proliferation	BP	e	0.029254240682076726	1.0	1	229	2	15541	PRDX4	6
GO:0070977	bone maturation	BP	e	0.029254240682076726	1.0	1	229	2	15541	MBTPS2	5
GO:0035566	regulation of metanephros size	BP	e	0.029254240682076726	1.0	1	229	2	15541	AGTR2	5
GO:1903985	regulation of intestinal D-glucose absorption	BP	e	0.029254240682076726	1.0	1	229	2	15541	CLDN2	7
GO:1902315	nuclear cell cycle DNA replication initiation	BP	e	0.029254240682076726	1.0	1	229	2	15541	POLA1	9
GO:0050771	negative regulation of axonogenesis	BP	e	0.030126855761003844	1.0	3	229	46	15541	GDI1,MCF2,PLXNA3	9
GO:0060998	regulation of dendritic spine development	BP	e	0.03184085980794003	1.0	3	229	47	15541	ARMCX5-GPRASP2,GPRASP3,IL1RAPL1	4
GO:2000255	negative regulation of male germ cell proliferation	BP	e	0.029254240682076726	1.0	1	229	2	15541	PRDX4	7
GO:0021831	embryonic olfactory bulb interneuron precursor migration	BP	e	0.029254240682076726	1.0	1	229	2	15541	ARX	8
GO:1990959	eosinophil homeostasis	BP	e	0.029254240682076726	1.0	1	229	2	15541	BTK	5
GO:0070236	negative regulation of activation-induced cell death of T cells	BP	e	0.029254240682076726	1.0	1	229	2	15541	TSC22D3	10
GO:1904038	regulation of iron export across plasma membrane	BP	e	0.029254240682076726	1.0	1	229	2	15541	HEPH	9
GO:0072138	mesenchymal cell proliferation involved in ureteric bud development	BP	e	0.029254240682076726	1.0	1	229	2	15541	GPC3	5
GO:1900210	positive regulation of cardiolipin metabolic process	BP	e	0.029254240682076726	1.0	1	229	2	15541	TAFAZZIN	9
GO:1902975	mitotic DNA replication initiation	BP	e	0.029254240682076726	1.0	1	229	2	15541	POLA1	10
GO:0034089	establishment of meiotic sister chromatid cohesion	BP	e	0.029254240682076726	1.0	1	229	2	15541	SMC1A	4
GO:0021628	olfactory nerve formation	BP	e	0.029254240682076726	1.0	1	229	2	15541	PLXNA3	4
GO:0032917	polyamine acetylation	BP	e	0.029254240682076726	1.0	1	229	2	15541	SAT1	6
GO:0007624	ultradian rhythm	BP	e	0.029254240682076726	1.0	1	229	2	15541	ENOX2	2
GO:0042450	L-arginine biosynthetic process via ornithine	BP	e	0.029254240682076726	1.0	1	229	2	15541	OTC	12
GO:0061188	negative regulation of rDNA heterochromatin formation	BP	e	0.029254240682076726	1.0	1	229	2	15541	PHF8	10
GO:0001812	positive regulation of type I hypersensitivity	BP	e	0.029254240682076726	1.0	1	229	2	15541	BTK	11
GO:0044210	'de novo' CTP biosynthetic process	BP	e	0.029254240682076726	1.0	1	229	2	15541	CTPS2	12
GO:0061209	cell proliferation involved in mesonephros development	BP	e	0.029254240682076726	1.0	1	229	2	15541	GPC3	4
GO:0002035	brain renin-angiotensin system	BP	e	0.029254240682076726	1.0	1	229	2	15541	AGTR2	9
GO:0032918	spermidine acetylation	BP	e	0.029254240682076726	1.0	1	229	2	15541	SAT1	7
GO:0007199	G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger	BP	e	0.029254240682076726	1.0	1	229	2	15541	AGTR2	7
GO:1905035	negative regulation of antifungal innate immune response	BP	e	0.029254240682076726	1.0	1	229	2	15541	FAM3A	8
GO:0018993	somatic sex determination	BP	e	0.029254240682076726	1.0	1	229	2	15541	AR	4
GO:1903910	negative regulation of receptor clustering	BP	e	0.029254240682076726	1.0	1	229	2	15541	GRIPAP1	7
GO:0090042	tubulin deacetylation	BP	e	0.029254240682076726	1.0	1	229	2	15541	FLNA	8
GO:1904161	DNA synthesis involved in UV-damage excision repair	BP	e	0.043560230699697215	1.0	1	229	3	15541	POLA1	9
GO:0045113	regulation of integrin biosynthetic process	BP	e	0.043560230699697215	1.0	1	229	3	15541	AR	7
GO:1901645	regulation of synoviocyte proliferation	BP	e	0.043560230699697215	1.0	1	229	3	15541	BTK	6
GO:0160020	positive regulation of ferroptosis	BP	e	0.043560230699697215	1.0	1	229	3	15541	TMEM164	6
GO:0006273	lagging strand elongation	BP	e	0.043560230699697215	1.0	1	229	3	15541	POLA1	9
GO:0021759	globus pallidus development	BP	e	0.043560230699697215	1.0	1	229	3	15541	ARX	4
GO:0034758	positive regulation of iron ion transport	BP	e	0.043560230699697215	1.0	1	229	3	15541	HEPH	8
GO:0072180	mesonephric duct morphogenesis	BP	e	0.043560230699697215	1.0	1	229	3	15541	GPC3	9
GO:0070901	mitochondrial tRNA methylation	BP	e	0.043560230699697215	1.0	1	229	3	15541	HSD17B10	11
