GO_ID	Category
GO:0044726	development
GO:0061055	development
GO:1990138	development
GO:0072236	development
GO:0048641	development
GO:0021707	development
GO:2000011	development
GO:0036344	development
GO:0003184	development
GO:0043585	development
GO:0010001	development
GO:0060414	development
GO:0007530	development
GO:0072172	development
GO:0061298	development
GO:0010159	development
GO:0060769	development
GO:0003278	development
GO:0060433	development
GO:0035907	development
GO:0036305	development
GO:0042666	development
GO:1902037	development
GO:0030859	development
GO:0033089	development
GO:0045136	development
GO:0001549	development
GO:0021675	development
GO:0003177	development
GO:0030858	development
GO:0048619	development
GO:0010070	development
GO:0061040	development
GO:0021897	development
GO:0060841	development
GO:0007163	development
GO:0035906	development
GO:0071599	development
GO:0061339	development
GO:0090102	development
GO:0048537	development
GO:0036345	development
GO:1903709	development
GO:0060300	development
GO:0021549	development
GO:0110058	development
GO:0003171	development
GO:0021568	development
GO:0021522	development
GO:0002292	development
GO:0070371	development
GO:0061379	development
GO:0001944	development
GO:0021536	development
GO:0030879	development
GO:0030900	development
GO:0072139	development
GO:0072183	development
GO:0061458	development
GO:0048541	development
GO:0045444	development
GO:1903699	development
GO:0043586	development
GO:0072203	development
GO:0001711	development
GO:0007492	development
GO:0030223	development
GO:0061369	development
GO:0060067	development
GO:0072028	development
GO:0021540	development
GO:0071963	development
GO:0048813	development
GO:0048557	development
GO:1901247	development
GO:0072207	development
GO:0061323	development
GO:1904156	development
GO:0003339	development
GO:1904261	development
GO:0031017	development
GO:1905651	development
GO:0061010	development
GO:0060430	development
GO:0061550	development
GO:0030182	development
GO:0014037	development
GO:0002761	development
GO:0002521	development
GO:1902913	development
GO:0060715	development
GO:0070977	development
GO:0005125	development
GO:0002574	development
GO:0021979	development
GO:0003407	development
GO:0003128	development
GO:0060976	development
GO:0045581	development
GO:2000287	development
GO:0035441	development
GO:0061115	development
GO:0021682	development
GO:0021740	development
GO:0001839	development
GO:0003429	development
GO:0048708	development
GO:0039530	development
GO:1905956	development
GO:0045651	development
GO:0021766	development
GO:0021747	development
GO:0060529	development
GO:0048086	development
GO:0007400	development
GO:0050872	development
GO:0070285	development
